Year,Value,
1970,6.11856E+11,
1971,6.61299E+11,
1972,7.3728E+11,
1973,9.36641E+11,
1974,1.19169E+12,
1975,1.30395E+12,
1976,1.41431E+12,
1977,1.59702E+12,
1978,1.7321E+12,
1979,2.06728E+12,
1980,2.42509E+12,
1981,2.61435E+12,
1982,2.58654E+12,
1983,2.52547E+12,
1984,2.55956E+12,
1985,2.69482E+12,
1986,2.81568E+12,
1987,2.89882E+12,
1988,3.13872E+12,
1989,3.34203E+12,
1990,3.76026E+12,
1991,4.03582E+12,
1992,4.01228E+12,
1993,4.27599E+12,
1994,4.64332E+12,
1995,5.22323E+12,
1996,5.70393E+12,
1997,6.02668E+12,
1998,5.85726E+12,
1999,5.71175E+12,
2000,6.213E+12,
2001,6.2791E+12,
2002,6.40216E+12,
2003,7.23172E+12,
2004,8.59568E+12,
2005,1.02526E+13,
2006,1.21713E+13,
2007,1.50858E+13,
2008,1.81195E+13,
2009,1.76075E+13,
2010,2.14255E+13,
2011,2.52679E+13,
2012,2.68315E+13,
2013,2.84407E+13,
2014,2.94825E+13,
2015,2.78767E+13,
2016,2.79728E+13,
1960,12525680951,
1961,13386351817,
1962,14307816104,
1963,15133348219,
1964,16543899359,
1965,18004962168,
1966,19544706292,
1967,19667042556,
1968,20906822495,
1969,23857220125,
1970,32837073290,
1971,30359420847,
1972,33929717614,
1973,36066821280,
1974,52377237128,
1975,60240314536,
1976,73250340512,
1977,76778825025,
1978,83172550737,
1979,1.02343E+11,
1980,1.31644E+11,
1981,1.35585E+11,
1982,1.27684E+11,
1983,1.06265E+11,
1984,99705701419,
1985,99635251825,
1986,96824536113,
1987,1.07028E+11,
1988,1.14657E+11,
1989,1.17219E+11,
1990,1.24491E+11,
1991,1.28063E+11,
1992,1.29439E+11,
1993,1.19431E+11,
1994,1.19279E+11,
1995,1.40582E+11,
1996,1.56518E+11,
1997,1.58319E+11,
1998,1.51437E+11,
1999,1.57758E+11,
2000,1.75671E+11,
2001,1.69638E+11,
2002,1.84391E+11,
2003,2.10309E+11,
2004,2.54107E+11,
2005,2.98966E+11,
2006,3.77892E+11,
2007,4.32494E+11,
2008,5.15331E+11,
2009,4.79917E+11,
2010,7.07234E+11,
2011,8.10783E+11,
2012,8.91826E+11,
2013,9.69504E+11,
2014,1.05262E+12,
2015,9.84508E+11,
2016,9.23606E+11,
1980,1.49453E+11,
1981,1.5228E+11,
1982,1.51393E+11,
1983,1.4472E+11,
1984,1.443E+11,
1985,1.54706E+11,
1986,1.6618E+11,
1987,1.76101E+11,
1988,1.78968E+11,
1989,1.78613E+11,
1990,1.87636E+11,
1991,1.90583E+11,
1992,1.79339E+11,
1993,1.81205E+11,
1994,1.6744E+11,
1995,1.91139E+11,
1996,2.09101E+11,
1997,2.1971E+11,
1998,2.25492E+11,
1999,2.28385E+11,
2000,2.50497E+11,
2001,2.45457E+11,
2002,2.60506E+11,
2003,2.93491E+11,
2004,3.31891E+11,
2005,3.7828E+11,
2006,4.39667E+11,
2007,5.2281E+11,
2008,6.33846E+11,
2009,6.52749E+11,
2010,7.42077E+11,
2011,8.31577E+11,
2012,8.77953E+11,
2013,9.55564E+11,
2014,1.0306E+12,
2015,1.03955E+12,
2016,1.07279E+12,
1960,38552843709,
1961,40693283774,
1962,43887390094,
1963,49429967764,
1964,48314009339,
1965,54527198662,
1966,59160876213,
1967,59734974396,
1968,62963565810,
1969,71150741265,
1970,82807754900,
1971,83066378876,
1972,86442205439,
1973,98971784199,
1974,1.34251E+11,
1975,1.60984E+11,
1976,1.6734E+11,
1977,1.82331E+11,
1978,2.06077E+11,
1979,2.40799E+11,
1980,2.83402E+11,
1981,2.90343E+11,
1982,2.8096E+11,
1983,2.51504E+11,
1984,2.44016E+11,
1985,2.53832E+11,
1986,2.61727E+11,
1987,2.82048E+11,
1988,2.92878E+11,
1989,2.95193E+11,
1990,3.11501E+11,
1991,3.18111E+11,
1992,3.08723E+11,
1993,3.00031E+11,
1994,2.86508E+11,
1995,3.31654E+11,
1996,3.65671E+11,
1997,3.77798E+11,
1998,3.7618E+11,
1999,3.85587E+11,
2000,4.2568E+11,
2001,4.14567E+11,
2002,4.44398E+11,
2003,5.03275E+11,
2004,5.85636E+11,
2005,6.76966E+11,
2006,8.17667E+11,
2007,9.55193E+11,
2008,1.1485E+12,
2009,1.12876E+12,
2010,1.4551E+12,
2011,1.64971E+12,
2012,1.77931E+12,
2013,1.93538E+12,
2014,2.09467E+12,
2015,2.03203E+12,
2016,1.99981E+12,
1960,1.70979E+11,
1961,1.57897E+11,
1962,1.65672E+11,
1963,1.79542E+11,
1964,1.98102E+11,
1965,2.20983E+11,
1966,2.4537E+11,
1967,2.47715E+11,
1968,2.53063E+11,
1969,2.82833E+11,
1970,3.21366E+11,
1971,3.57843E+11,
1972,4.10664E+11,
1973,5.21689E+11,
1974,6.1436E+11,
1975,6.75064E+11,
1976,7.36555E+11,
1977,8.54922E+11,
1978,8.90801E+11,
1979,1.06438E+12,
1980,1.20659E+12,
1981,1.27908E+12,
1982,1.30869E+12,
1983,1.21083E+12,
1984,1.27495E+12,
1985,1.3626E+12,
1986,1.44931E+12,
1987,1.52779E+12,
1988,1.68283E+12,
1989,1.90737E+12,
1990,2.02724E+12,
1991,2.23029E+12,
1992,2.07992E+12,
1993,2.15593E+12,
1994,2.46885E+12,
1995,3.03282E+12,
1996,3.32569E+12,
1997,3.48028E+12,
1998,3.35129E+12,
1999,3.09602E+12,
2000,3.40075E+12,
2001,3.51517E+12,
2002,3.72354E+12,
2003,4.24606E+12,
2004,5.10348E+12,
2005,6.16173E+12,
